Sample;C12(ISTD) ;n-C9 ;"3-; 5-MeC10 ";n-C11 ;C11diene ;n-C13 ;n-C14 ;n-C17 ;n-C23 ;9-MeC23 ;7-MeC23 ;5-MeC23 ;C25alkene1 ;C25alkene2 ;n-C25 ;"13-; 15-MeC25 ";9-MeC25 ;5-MeC25 ;"9,13-; 9,15-DiMeC25 ";"7,9-; []-DiMeC25 ";"5,9-;[]-DiMeC25 ";n-C26 ;"10-; 9-; 8-MeC26 ";7-MeC26 ;6-MeC26 ;5-MeC26 ;4-MeC26 ;10,14-DiMeC26 ;C27alkene ;n-C27 ;"13-; 11-; 9-MeC27 ";7-MeC27 ;5-MeC27 ;"9,11-; []-DiMeC27 ";"7,11-; []-DiMeC27 ";3-MeC27 ;5,9-DiMeC27 ;"7,11,13-; 7,11,15-TriMeC27 ";n-C28 ;"3,7-; 3,9-DiMeC27 ";"16-; []-MeC28 ";8-MeC28 ;6-MeC28 ;5-MeC28 ;"10,12-; []-DiMeC28 ";"8,12-; []-DiMeC28 ";C29alkene1 ;C29alkene2 ;"4,8-;[]-DiMeC28 ";"6,10,14-; []-TriMeC28 ";n-C29 ;"4,10,14-; []-TriMeC28 ";"15-; 13-; 11-MeC29 ";9-MeC29 ;7Me-C29 ;5-MeC29 ;"11,13-; []-DiMeC29 ";"9,13-; []-DiMeC29 ";"7,11-; 7-13-DiMeC29 ";3-MeC29 ;"5,9-; []-DiMeC29 ";9,13,17-TriMeC29 ;"7,11,13-; 7,11,15-TriMeC29 ";"5,9,13-;[]-TriMeC29 ";"3,7-; []-DiMeC29 ";"5,9,11,13-; []-TetraMeC29 ";12-MeC30 ;8-MeC30 ;6-MeC30 ;12,14-DiMeC30 ;8,12-DiMeC30 ;"6,10-; []-DiMeC30 ";C31alkene ;"6,10,14-; []-TriMeC30 ";n-C31 ;"13-; 15-MeC31 ";"9-; 11-; 13-MeC31 ";7-MeC31 ;5-MeC31 ;"13,15-; []-DiMeC31 ";"9,13-; []-DiMeC31 ";"7,11-; []-DiMeC31 ";"5,9-; []-DiMeC31 ";"7,11,13-; []-TriMeC31 ";"5,9,13-; []-TriMeC31 ";"7,11,13,15-; []-TetraMeC31 ";"3,7-; []-DiMeC31 ";"3,7,11-; []-TriMeC31 ";8-MeC32 ;"3,7,11,15-; []-TetraMeC31 ";"6,10-; []-DiMeC32 ";"10,14,16-; []-TriMeC32 ";"4,12-; []-DiMeC32 ";"6,10,14-; []-TriMeC32 ";n-C33 ;"11-; []-MeC33 ";9-MeC33 ;7-MeC33 ;"13,17-; []-DiMeC33 ";"11,13-; []-DiMeC33 ";"9,11-; []-DiMeC33 ";"11,13,15-; []-TriMeC33 ";"5,9-; []-DiMeC33 ";"7,11,13-; []-TriMeC33 ";"3,11-; []-DiMeC33 ";"3,7-; 3,9-DiMeC33 ";"3,11,15-; []-TriMeC33 ";"3,7,11-; []-TriMeC33 ";C35diene ;"12,14-; []-DiMeC34 ";"6,10-; []-DiMeC34 ";"4,12-; 4,14-DiMeC34 ";"6,8,10-; []-TriMeC34 ";n-C35 ;"9,21-; 9,25-DiMeC35 ";"11-; []-MeC35 ";7-MeC35 ;"13,19-; []-DiMeC35 ";"11,23-; 11,25-DiMeC35 ";"7,11-; []-DiMeC35 + Hexadecanoic Ester ";"5,11-; []-DiMeC35 ";"7,11,15-; []-TriMeC35 ";"3,11-; []-DiMeC35 ";"3,7,11-; []-TriMeC35 "
Pc_W_haplo_1_01.D;561394696,6;821706,9029;2538532,398;9627921,589;9866909,991;1167165,809;155067,9109;11639144,18;45833483,66;1008894,744;0;99079,46444;10137300,98;1178389,88;18773114,98;488555,7206;1149411,018;5115767,091;498333,7727;730188,7845;690190,2322;26031510;23331924,5;942271,0771;5295861,516;1083551,816;0;819727,7336;12831919,41;457880669,8;431599079,4;356354390;99577404,19;18512371,2;6006205,589;16834291,77;28840426,96;17727513,81;107260794,4;8397832,107;24580551,02;101886428,8;18726546,06;3149740,578;7395744,12;0;17978475,28;440684,3201;1484829,899;0;391153183,9;0;105831639,8;189114293,4;157685578,4;113188890,6;18915808,78;25381579,85;24767030,47;22953951,17;24515639,18;5419682,565;8513615,456;44793380,53;8633798,537;3544811,552;5281312,318;16001969,32;5210196,133;6117595,321;10172224,65;1732924,335;1571675,408;2948787,154;255364814,7;85671842,25;68126030,75;194520471,6;33952294,54;73924874,33;92829397,34;50796958,18;102544677,7;120374662,2;77464504,56;17441563,51;7474772,491;19269255,96;43711393,58;33654202,7;0;0;0;1976262,321;303092737;75544418,59;20293290,17;192699115,4;144569736,7;18619646,24;28305076,99;77550827,97;45454053,78;42843416,1;41484013,09;37508838,4;2479131,075;10014932,42;0;8829413,461;0;0;0;83045969,28;0;7126020,497;45925687,31;0;0;9159107,479;3711987,807;851663,2599;0;0
Pc_Q_haplo_1_03.D;504979723,3;1957781,346;3233401,767;843392,1973;676908,4841;1346630,88;3736755,232;2811967,494;17985763,07;15304193,19;881081,7063;23075772,51;2880132,963;730649,1739;188481385,5;90349108,72;95011138,88;211577853,8;63011081,04;62582683,75;66521898,13;147596209,4;644347915,3;30000259,24;26699846,14;9735646,585;0;99034733,46;261113842;1109555046;3805970443;410682267,9;68117391,85;48167754,95;2347682,534;21333207,96;292135867,2;279948527;137625300,2;133310037,2;771959568,7;278628942,7;134451012,1;34069887,66;169482164,3;80813970,35;309188051,9;11074672,62;93613751,15;34141870,27;366101976,4;16024125,62;684771434,3;234250222,9;222877554,6;100157214,7;116325202,2;157830638,5;111025710,7;14909105,16;39102550,77;58480755,02;329689988,3;225357919,4;211829862,3;138905616,7;362138866,5;113830493,1;59191721,98;357152326,8;146947875,7;94385630,78;95470414,15;30789249,41;93787610,74;297949014,6;115707882,4;177395811,1;40286087,35;107353028,5;151516899,8;136761148;257329187,1;326949982,5;23487590,99;63930114,3;178484671,3;213727279,5;106763413,1;242433748,8;36080049,53;92640757,9;127501673,9;124428562,4;82266020,51;390869080,3;6544371,401;193907899,8;127653881,5;136117892,5;59964005,35;122970964;81565993,4;165004211,3;134508067,9;156154761,7;163077782,6;207858812,2;0;334860918;14749095,61;6009793,286;13987571,23;7668979,491;21879297,73;162447605;35224821,78;52637010;129188926,8;25756623,19;20345452,21;18024628,61;7030885,768;11261732,54
Pc_Q_haplo_3_01.D;547445808,3;7394312,028;3232835,906;1654887,052;1170789,98;1103589,246;3847793,252;3000169,053;10614589,86;8275241,913;593904,8162;14773020,44;4521489,931;435347,4329;75901788,85;89251012,43;86747083,59;114548099,5;42510593,38;19835335,91;33414824,67;89554589,32;693914905,9;47372753,72;18761414,98;11755510,75;0;36782843,52;160304458,3;684687423,7;2309747452;305215466,1;117596041,3;460465669,7;140708555,6;62660910,12;230563202,4;288734648,4;93797358,1;235490846,5;581893735,7;167253575,9;84323736,32;12410628,27;156687524,4;45518353,98;221160463,2;4377311,831;36436263,6;17724859,4;308517963,8;12218545,56;499982003,1;144034313;279351294,6;154672801,5;205903146,2;154571031,4;171856491,3;21738216,18;82813610,45;213114814,5;271078763,8;201750545,1;82435930,23;61130385,9;115842288,2;92234606,84;26032438,58;219999988,9;67103722,13;21753402,02;40100551,42;67849770,5;96117528,5;419158016,7;123189543,2;345647169,3;41899991,2;236630966,5;138017267,4;188235072,8;401672687,6;222227999,6;137824498,4;201265809,9;91754510,44;273077687,2;77171424,42;298391241,6;5437831,056;79872292,41;103001221,7;65517277,15;43404477,24;352964506,5;11587277,67;132760726,3;215760475,9;170962276,1;92123731,54;157326592,8;141403664,6;224348347,9;90258459,42;87417111,99;83811230,04;104283933,5;0;151882234,9;5927320,868;0;6292254,389;3569382,545;5569096,622;33779802,49;11556256,75;20007771,88;50386251,24;14775039,17;13556109,47;5152254,221;1224332,703;3739383,006
Pc_Q_pleo_24_01.D;572065374,8;56693367,41;3663172,041;3293746,332;2764398,003;3051928,714;4022407,122;3295678,81;140292843,5;42782292,42;5349557,625;38310140,4;17623585,79;7065400,365;381396102,1;112564769;171037771;229721414,9;68893999,56;116104605,6;72255777,33;222696436,8;851170889,6;6418650,033;13824921,82;7615443,879;497584,4679;85137435,94;223715965,7;1111280030;4157533524;400142402,3;91003355,41;86273080,07;14010423,57;6727610,087;420715022,2;124511292,1;99227948,32;389678711,6;716896436,4;343619542,7;147299834,7;35698278,85;247586926,3;5910302,388;305980659,9;21218013,38;85883357,32;31388350,18;322057691,7;18878817,97;407142486,6;290675147,5;216147332,1;69958607,56;143466870,6;145647293,1;121835733,7;36267291,2;158558423,3;104523605,6;213047040,1;272844068,3;219151945,1;42639169,91;149114856,6;216692087,5;76501282,94;174478556,2;110002967,4;101714325,2;15607827,5;92106559,81;84708339,59;260693521,3;114975832,6;211911837,8;77918543,45;141522668;230425549,5;152786915,6;86570069,57;242503439,9;50786257,96;81359045,29;122603617,9;94494533,8;107494402,4;136560879,1;76561290,37;52246231,2;82104857,37;132841208,8;37896113,78;470459937;5270706,983;134530097,3;162961012,9;157101770,6;89690643,28;24205526,2;41919455,35;59264902,35;144540365,2;124486396,6;167304654,9;309324972,3;86294109,46;395911104,2;12040812,51;22082540,49;24020762,67;4488634,241;31818252,32;271889687;26954913,68;62781038,43;211067017,5;62600952,51;38525710,37;40668417,55;19015564,65;39950448,53
Pc_Q_pleo_65_01.D;663632968;12947135,6;2681799,68;1994787,473;2211225,799;1907088,834;5752415,156;5195851,36;28048207,77;16738150,55;1394009,408;17492948,03;5626210,998;1433641,591;223249124,5;59835542,51;154403085,5;248885263,6;36890950,55;99480325,43;78514782,32;151280434,8;800202974,2;9188204,37;6671324,576;11977100,74;583086,6569;78092543,62;241723665,2;1134548883;3980591731;501410523,7;99252124,15;26736995,21;8772183,711;3043619,296;382102667,7;254908631,2;111540464,9;164907621,2;529003306,4;362736790,7;197012641,7;43752611,05;232016229;103708677,8;277813499,1;27164444,12;65559042,98;29355762,79;278316513,8;3753769,751;482314033,7;343047232,7;210933069,4;73650794,84;72353659,52;69375434,03;87356963,72;12415689,05;36684755,16;75156696,97;201766677,2;219957155,5;207664904,9;83849430,22;330156522,5;298686501,3;122473568,1;209888704,1;99705570,17;120858250,7;16101986,48;108843554,5;109499119,1;280596854,6;177610942,6;236278371,7;38102924,46;92155536,69;159085540,3;110019770,7;29562434,15;289076832,1;26331572,98;52527762,89;133553264;250534846,4;69698159,39;179640843;69744170,41;48806690,83;59467312,91;116420225,3;82188012,12;365816495,2;4489653,863;98451315,65;92044343,84;132220043,8;55592496,03;124407868;19790529,93;28235372,22;112921313,9;159454932,8;166916618,9;224322790,1;0;356906071,3;18092108,33;14575794,73;22270798,35;13758183,57;28641472,75;244478991,4;56277778,81;56756129,72;212895827;48779562,88;29684077,65;35097027,56;19726252,35;25207173,32
Pc_W_pleo_24_01.D;838866353,8;19691469,13;3815171,337;9920195,521;10284292,47;13969069,88;24522659,16;6342082,361;13966148,88;4441835,724;329973,8383;4127177,805;5699340,389;1080477,441;92790129,25;11806118,93;40060035,66;38425288,38;6349519,46;13200591,2;12780975,65;117214848,9;448123839,6;38931623,84;67176074,32;3526589,503;0;25476247,96;97928331,5;946318815,7;2048821647;238242742,7;117408494,6;195865529,1;262900141,2;78490747,35;306008539,4;124414631,4;279880190,5;151436345,9;565767830,9;169879094,1;96838078,02;16894144,71;63811663,35;49669328,01;148794575,8;9401905,231;28360972,22;11821496,03;621993535,1;3099103,868;420520889,3;315923996,8;199177937,6;180734795,7;209689437,5;150360907,9;169893858,3;63935652,15;190270500,9;36222604,64;75376641,96;256467310,7;121194025,8;23215989,05;95479858,24;180925540,5;48853008,79;69583356,4;60833052,51;45947076,41;3654438,953;33388562,45;277668962,6;263509393,6;142249510,4;168561237,4;21411414,79;116097585,2;89932012,71;131174079,6;209931878,2;327949839,2;295634174,9;100614563,2;59039856,32;58976273,37;129733658,9;138898597,4;53229130,85;16360037,09;31931113,18;78292772,74;246810450,8;364105845,5;3248971,328;153941850,2;223792638,4;150424717,8;86986705,91;16610622,09;56512593,68;218446731,7;142453848,8;110143611,5;41616032,4;226516341,9;53986975,6;232066057,4;15298060,07;11431862,05;21060299,9;86000168,75;10241560,74;264052260;84804740,78;73251855,95;112305276,5;62994424,28;21866422,17;45929133,67;24073931,37;15041266,87
Pc_W_haplo_3_01.D;916164380,7;3021691,707;3054025,534;8612403,807;10359272,02;300848,1891;3546684,221;2221010,177;2609369,75;24071,77852;0;31545,9723;1798014,883;52468,33088;25131808,31;896341,6204;2564838,984;13188166,2;1029683,862;1590771,278;1731498,323;38217744,07;53304419,75;9879047,561;5252189,604;2004583,044;0;3934271,137;14663581,97;698208595,5;842593829,2;309037325,2;153530217,3;104202267,2;44835748,56;16548298,41;77809203,13;47997763,43;194903740,3;18182319,08;117381886,2;230459049;27184911,14;4015001,691;26693271,4;16564476,53;52557408,42;7198880,778;4678294,136;0;532723173,9;;234648696,8;220190093,1;239834126,8;187025069,4;65895054,7;68231067,08;46718228,45;44705601,38;67497852,07;24571005,01;35461925,8;119633515,7;24638388,25;12680179,46;22521025,28;65588300,63;11155983,37;29837165,93;21727788,16;6831358,872;3589327,784;10517730,17;295338965,7;172234982,9;80810897,76;259573515,1;54563002,26;141691006,3;117775511,3;108478771,1;230639752,3;254702989,6;150084229,3;115362703,2;17315835,43;49296957,33;48767154,38;77489746,78;2625543,033;17252823,41;8397395,308;9508826,609;281334409,3;121829837,5;22322483,85;223003895,6;196649247,3;61143033,8;42972016,43;166237385,9;90842755,66;114141472,3;84483164,32;79306105,93;10374280,81;36516659,44;0;27970921,94;1845689,399;1108748,063;802640,2852;131604838,6;0;11432423,69;110446683,2;20253774,07;6978449,789;18465366,63;10251830,01;8254666,488;744636,1458;1714980,374
Pc_W_pleo_65_01.D;863666157,3;5529933,349;3136431,074;6967515,52;6730962,772;305994,572;145778,8759;753712,6551;3770762,664;251284,1077;0;39657,23278;2048900,227;95991,13168;68899699,62;473822,5313;2637172,449;4401602,184;439744,1353;828568,3722;413250,3783;65363211,55;24880309,96;2150151,173;4936764,604;420335,9259;0;1700565,606;13491376,91;702989941,1;462671092,3;279972674,7;83873584,48;14647723,53;22402754,94;30355177,78;39233636,25;2566595,45;179365630,5;14959866,65;30904531,18;76941065,73;10027947,25;2068727,739;6634360,187;1786031,514;11028049,05;300659,8557;;0;282942271,7;;111323871,4;256177037,4;106805574,3;132785134;9400392,172;13918934,57;19676675,98;53361704,17;27351426,59;502004,7513;1856980,751;113704063,8;9794363,536;1431939,6;5813752,838;22247388,83;6295044,293;5532836,064;6006022,217;3453798,567;137283,1399;0;357679791,6;138048471;153149886,1;236883846,4;55770378,45;29544823,25;61893078,3;42742950,6;75856783,96;52389457,17;117694929,3;8670179,355;2815889,492;22029677,6;28951499,16;12427261,87;2855357,671;3212118,067;1821901,042;1447435,323;375113210,2;147009537,1;26850468,28;183654639,5;154531236,7;45415894,88;58256007,29;78756774,81;49032446,38;29055132,15;56093213,69;29277765,39;3260531,808;13936652,04;0;13439853,07;0;892490,9165;1889935,809;130755134,1;0;23815481;60533833,2;10778856,37;2811883,418;44504922,17;6412499,141;1216676,546;3622414,259;0
Pc_Q_pleo_24_02.D;1211143327;28281773,15;10523848,84;4871878,49;8730057,047;1540423,522;5849152,902;10373616,59;297452230,9;26457686,67;7469056,33;27603574,89;20031331,23;5935051,569;437365357,3;102901320,1;130847428,8;226101754,7;39441674,34;139607934,7;49955615,09;196876407,5;812677854;32835924,87;172130029;19551563,92;734029,1197;54140893,47;208294803,9;774514353,5;2259484600;428686260,4;185880458,4;594192308,4;202753757;550993504;469439838,4;273382909,9;66004364,01;417641153,1;566705820,3;504578429,3;198221010,7;28878536,01;180221131,6;3098862,453;301845518,1;12098100,73;44839319,92;30510846,62;374153911,9;14048225,67;738601651,3;244440719,8;324454029,4;207110370,2;173998336,8;170397335,2;215189869;135878195,1;237871058,6;53525656,67;204437286,8;287655689,4;184605882,3;22754264,14;202182519,7;267390412,1;44831160,9;113370884,5;80313419,09;62562460,03;9095278,792;92559594,21;115104589,6;680114243,9;180512661,1;354072591;64435101,1;318680705;195195626;319461637,7;334186269,3;482828271;375329717,3;325504779,9;84700533,22;290329895,3;124815894,1;258218077,1;58799497,02;36939966,64;66953650,45;107274585,3;23167182,76;648486050,3;13756647,21;179292797,8;438253430,6;263719722,8;216220040,8;145490016,4;106963503,2;239504103,5;287406552,6;130759783,8;124617330,7;322409816,5;31375519,27;271617713,4;9169968,584;10706328,54;12673365,26;2728989,637;14716315,26;113520533,5;10686898,04;31608759,87;137772533,4;25554141,86;9437133,088;12033593,1;10964233,46;14276870,62
Pc_M_haplo_46-47_05.D;1258120890;2446896,925;13571384,07;6976741,934;10781128,12;747336,8596;441160,554;1303059,236;233450848,6;4533005,493;2532321,513;19727855,17;3354968,092;943830,1216;607907253,9;56890053,81;45121364,54;115861449,7;35194724,92;89134380,8;13280330,16;536782105,8;451109526,7;5886977,787;69352548,03;19110118,46;26793392,31;26842790,79;233006599,5;1968632989;1292738292;571256743,7;341498284,7;313362725,6;55253087,97;478266828,4;206719640,2;172931385,8;648271092,5;234180187,1;238481097,6;338672164,7;126917757,8;21539236,32;91301066,9;41238266,18;185238092,8;6396785,122;30774221,08;4704739,245;668966945,6;9230752,723;373265668;330309157,1;372706380,7;271505297,3;96923215,1;73844938,75;94966022,07;322575517,6;51395295,63;111179651,5;309907535,3;85752319,14;163166848,5;20647836,42;65935730,66;52076585,46;21376531,13;45382922,08;46392139,76;3790645,952;14246924,34;16446698,98;178794241,6;235977431,3;69692110,91;282521211,8;39920523,19;102037133,4;140531425,2;112229991,4;220390295,1;292237550,7;140634005,3;193880537,8;29782191,86;78567715,22;44085655,79;111123702,8;748921,0675;22525057,79;13747107,91;10947850,66;49449648,52;115530029,4;10399780,89;145883256,7;186885727,7;31665739,62;29538502,26;156128255,7;74094610,12;132531011,8;44382126,95;53690462,47;16457538,48;47526807,58;0;53643563,74;0;0;1178643,35;3058621,788;1334117,127;16943923,87;7643687,905;11099743,02;19522273,73;1715976,825;14582461,43;12471206,85;3617612,687;2397101,843
Pc_W_pleo_72_02.D;1311709924;93202964,26;10939434;16850482,56;23046215,26;1400892,598;2591208,379;8236627,047;22307850,39;1692589,124;0;2363261,677;52688237,18;613292,8053;105689885,2;2896125,466;29592838,36;62011326,45;1454340,144;7940997,809;7450511,069;101232181,1;396614517,4;23027409,08;86556705,35;1814822,72;0;21686029,11;105797391,4;967044673,7;1770756035;458686516;229459676,5;349063741,8;291259364,8;38750632,78;404150077,3;182357820,3;312011424,1;185407210,5;436402075,9;408657801,9;103730142,3;16811997,14;112638696,9;46355163,18;230406754,6;22372422,58;30142749,02;0;669493581,7;0;562167738,2;306880380,9;306877722,1;278291787;91282292,81;135964297,9;166150464,3;63745373,15;269084135;39913169,38;82811369,99;304957000,5;151203977,6;21371332,75;76503217,62;164362027,3;54787557,6;65110516,89;73692558,89;65457105,08;4727611,138;48329956,39;388346024,9;468833989,2;218399111,4;356958824,9;85368404,31;379154210,1;282629615,1;256226171,4;291533474,2;419564769,3;262164094,4;82875795,18;68113838,89;241177667,8;141209377,1;171246485,7;73081879,43;19179929,47;23528224,39;85235503,99;207926035,7;365725308,3;17567283,57;200846770,8;357964302,4;180198015,6;208815775,9;;86778638,81;153193769,8;204328766,8;99237943,53;60147324,82;168371191,6;41181221,21;208054070,9;25126322,8;6303860,51;11684255;59534892,68;8527623,636;117328585,4;58306736,36;34663459,31;136965940;66741620,08;14203845,29;8540935,401;10145928,27;12168490,56
Pc_Q_haplo_3_03.D;1076597124;38143586,88;13565956,24;2391520,332;11414515;16083629,57;20725116,35;6564728,238;55913647,47;34876725,3;8467721,313;63402646,59;7894799,476;2283555,731;343174573,7;180701065;195888012,6;296315839,7;160200426,4;132997707,3;124939464,2;284859349;993514823,3;12876056,92;194506002,2;18505777,38;4562266,069;121635569,4;308885161,8;1332321707;5229949506;235444014;69089142,32;164438961,3;32906688,56;108928677,4;222974251,5;533391682;69354351,2;420477033,2;970786980,7;272696023;182920411;45209144,23;345926131,1;114881829;336441334,4;16694204,78;101341972,3;42538405,82;221875331,4;36416616,28;1157099711;273214766,2;258538820,9;68743537,94;190947469,4;114660000,2;133925778,2;16876805,3;63759393,98;306935911,6;385807354;310382969,6;194617700,4;171096954,9;359838278,5;204631274;97124682,97;409588753,5;189015817,2;72650450,07;154658199;115081522,9;150272220;388074015,8;171531516,4;318097345,8;53628649,06;207240277,5;134366933,6;162019107,4;447478190;413347810;61462816,22;141715571,8;127651820,8;279137053,8;130545064,8;223537725,2;19228304,31;143238966,1;144669930;143311643,1;75871001,65;627169353,7;10356062,51;240586133,1;179426888,8;150828299,2;128881796,2;268543982,5;140149022,7;269327459,7;162754540,9;195953089,4;191399957,9;269238340;110331625,9;396207233,1;13925122,3;5217482,671;19032258,48;10281844,58;16904580,76;112132583,8;39027521,97;71337921,49;187530510,5;11779341,86;45010081,79;20532398,7;11849005,14;14975792,18
Pc_W_pleo_72_05.D;1118280269;86718390,5;14309675,64;21956056,23;13924468,06;7458829,058;14286108,57;2490252,729;4648209,16;1030054,532;0;215913,7569;2948653,597;448794,7106;25301348,31;379620,1174;3166303,025;6701631,814;462921,5771;986583,7496;658218,3841;49293933,09;56031876,52;2021870,275;2172005,581;163614,8801;0;2319346,597;5896921,465;757933869;662398620,9;440600843,6;133191461,6;30387110,07;36272543,95;18746825,45;106360986,8;7359631,213;226749814,8;26067528,58;69857798,02;200936485,8;5439105,649;2394262,143;10562955,63;22952942,27;21552390,87;778433,0049;2482888,169;0;540284276,9;0;194673042,9;274584722,5;196118397,4;140041599,2;33085883,12;26677081,71;44278736,99;77194257,53;88383310,04;4298107,998;4890272,307;121091639,6;20731785,55;2012541,489;21623386,85;28600500,57;6703192,526;8617989,938;14762946,34;6706921,185;364588,9381;4200083,563;317970749,4;191420934,8;75707891,83;215978067,7;33772511,74;66853077,52;147722231,2;100556033;142332729,3;166811105;111832127,3;11270114,96;6613615,53;57824980,3;41582517,39;29955112,23;7419438,835;1995598,95;2840803,884;6084756,289;231717901,6;132831976,1;10793443,08;176138466,9;167035311,6;77189110,97;91991278,37;88930638,86;41334987,73;58966415,61;62367397,41;33775480,68;6204596,067;28929467,03;0;20461104,9;2655693,191;1026280,365;0;68055719,67;0;19661875,17;41051157,31;12468755,42;10752754,5;52634869,38;4600915,191;870417,2363;3456859,523;1676065,434
Pc_W_haplo_3_05.D;1127111257;54347185,02;14467571,75;10166491,74;10928594,56;56751036,92;33953398,24;3711330,915;3797598,701;20081,7085;0;356619,5882;465667,8985;145123,0638;77546472,91;508707,6993;4986198,102;13285653,92;833689,4492;1065508,827;1166269,825;145994160,9;105786071,6;5589237,032;12099867,06;1578305,545;0;2531845,788;16139380,94;1181476669;760341441,2;493159154,3;180609168,4;78076671,27;36172098,24;52118882,71;86781662,04;41878948,75;409632618,3;24721566,29;177070006;271289940,9;44176254,6;10089697,32;19647940,18;22058270,36;39543403,19;3215918,915;3600002,679;0;877681491,5;;223383848,5;188880666,9;287085625,5;241900501,8;71138993,15;76043219,18;63927874,92;96224266,91;88050638,92;43473877,96;42624011,61;205159096;29862113,13;4803729,275;11595150,52;83119545,84;19052228,96;27393030,15;23270233,35;2553848,337;1361813,359;3678562,022;547962866,8;204681891,8;146246695,2;357007125,3;76654359,02;113530794,1;128523031,9;115340776,1;265833123,3;272332477,6;219458551,1;52215500,92;12860388,84;48127571,92;89662687,81;130709358,2;2280854,84;17150745,73;9560877,509;3824577,688;570522051,1;110678677,7;13854167,81;309759759,5;216606126,8;64633056,71;90913358,69;195056508,5;125094692,8;132462989,6;118405509,8;86631002,33;9036214,942;24653069,82;0;20162927,83;0;0;;204858243,4;0;13463097,55;161489743;23209526,18;0;31125388,85;17141800,77;1112945,465;3346395,906;1278077,144
