Sample;C12(ISTD) ;n-C9 ;"3-; 5-MeC10 ";n-C11 ;C11diene ;n-C13 ;n-C14 ;n-C17 ;n-C23 ;9-MeC23 ;7-MeC23 ;5-MeC23 ;C25alkene1 ;C25alkene2 ;n-C25 ;"13-; 15-MeC25 ";9-MeC25 ;5-MeC25 ;"9,13-; 9,15-DiMeC25 ";"7,9-; []-DiMeC25 ";"5,9-;[]-DiMeC25 ";n-C26 ;"10-; 9-; 8-MeC26 ";7-MeC26 ;6-MeC26 ;5-MeC26 ;4-MeC26 ;10,14-DiMeC26 ;C27alkene ;n-C27 ;"13-; 11-; 9-MeC27 ";7-MeC27 ;5-MeC27 ;"9,11-; []-DiMeC27 ";"7,11-; []-DiMeC27 ";3-MeC27 ;5,9-DiMeC27 ;"7,11,13-; 7,11,15-TriMeC27 ";n-C28 ;"3,7-; 3,9-DiMeC27 ";"16-; []-MeC28 ";8-MeC28 ;6-MeC28 ;5-MeC28 ;"10,12-; []-DiMeC28 ";"8,12-; []-DiMeC28 ";C29alkene1 ;C29alkene2 ;"4,8-;[]-DiMeC28 ";"6,10,14-; []-TriMeC28 ";n-C29 ;"4,10,14-; []-TriMeC28 ";"15-; 13-; 11-MeC29 ";9-MeC29 ;7Me-C29 ;5-MeC29 ;"11,13-; []-DiMeC29 ";"9,13-; []-DiMeC29 ";"7,11-; 7-13-DiMeC29 ";3-MeC29 ;"5,9-; []-DiMeC29 ";9,13,17-TriMeC29 ;"7,11,13-; 7,11,15-TriMeC29 ";"5,9,13-;[]-TriMeC29 ";"3,7-; []-DiMeC29 ";"5,9,11,13-; []-TetraMeC29 ";12-MeC30 ;8-MeC30 ;6-MeC30 ;12,14-DiMeC30 ;8,12-DiMeC30 ;"6,10-; []-DiMeC30 ";C31alkene ;"6,10,14-; []-TriMeC30 ";n-C31 ;"13-; 15-MeC31 ";"9-; 11-; 13-MeC31 ";7-MeC31 ;5-MeC31 ;"13,15-; []-DiMeC31 ";"9,13-; []-DiMeC31 ";"7,11-; []-DiMeC31 ";"5,9-; []-DiMeC31 ";"7,11,13-; []-TriMeC31 ";"5,9,13-; []-TriMeC31 ";"7,11,13,15-; []-TetraMeC31 ";"3,7-; []-DiMeC31 ";"3,7,11-; []-TriMeC31 ";8-MeC32 ;"3,7,11,15-; []-TetraMeC31 ";"6,10-; []-DiMeC32 ";"10,14,16-; []-TriMeC32 ";"4,12-; []-DiMeC32 ";"6,10,14-; []-TriMeC32 ";n-C33 ;"11-; []-MeC33 ";9-MeC33 ;7-MeC33 ;"13,17-; []-DiMeC33 ";"11,13-; []-DiMeC33 ";"9,11-; []-DiMeC33 ";"11,13,15-; []-TriMeC33 ";"5,9-; []-DiMeC33 ";"7,11,13-; []-TriMeC33 ";"3,11-; []-DiMeC33 ";"3,7-; 3,9-DiMeC33 ";"3,11,15-; []-TriMeC33 ";"3,7,11-; []-TriMeC33 ";C35diene ;"12,14-; []-DiMeC34 ";"6,10-; []-DiMeC34 ";"4,12-; 4,14-DiMeC34 ";"6,8,10-; []-TriMeC34 ";n-C35 ;"9,21-; 9,25-DiMeC35 ";"11-; []-MeC35 ";7-MeC35 ;"13,19-; []-DiMeC35 ";"11,23-; 11,25-DiMeC35 ";"7,11-; []-DiMeC35 + Hexadecanoic Ester ";"5,11-; []-DiMeC35 ";"7,11,15-; []-TriMeC35 ";"3,11-; []-DiMeC35 ";"3,7,11-; []-TriMeC35 "
Pc_W_pleo_72_04.D;1220279080;42968653,84;14064897,07;3756845,549;6118850,578;14006729,17;14910443,14;2206371,722;16293590,86;1253796,007;0;326685,4808;3791363,202;883009,5869;46304755,72;336545,575;5798911,754;30096077,37;920236,533;3959588,458;3098528,117;66128784,33;161776214,7;3278785,129;18725658,84;70568,68402;128000,0879;15087951,47;46193560,41;786770361;1277464350;455456641,9;241163008;125539777,7;135799404,2;43139727,27;286777791,7;144709384,6;397884799,3;130026430,1;312873286,8;422449048,5;158821836,7;18709840,3;65836633,91;97486289,21;157140063,8;11930928,95;16192249,64;0;540806534,5;0;419483884,3;371775883,6;348072028,1;270334134,6;67224036,33;110269253,8;118459526,7;106141973,3;299423230,8;43359646,07;72353733,51;238888096,6;116327658,9;12483764,9;60121854,51;196381620,4;51567113,51;36182781,58;42131156,86;40985562,92;2293543,777;23811402,89;299751626,4;407926179,2;135877018,8;362258632,8;57101894,85;246860857,4;224426975,4;211641928,9;269394561,7;352061378,6;261165006,1;79625265,14;36548736,25;195010406;142922262,4;114677791,4;47053796,6;11728673,45;19385447,07;56144443,06;163862616,7;293767148,2;16032494,36;166825571,3;297521814,5;189730936,5;151409224,7;154099620,8;72957330,35;200471265,7;144151273,7;100115600,4;42921988,08;100920705,6;7028740,099;148942094,2;13823174,4;3292641,223;8140932,772;23675023,18;7490957,208;78965562,67;45016768,1;26339217,17;84046786,76;85161090,18;6695520,682;6872435,298;6177666,882;10281407,95
Pc_W_pleo_73_05.D;1204215108;138550150,8;14384164,5;11828989,63;24343916,62;51365357,79;44330975,7;9010723,878;8287955,468;358110,5115;0;233736,831;2042861,665;685281,8733;44324400,73;292604,5433;7406438,497;25822692,21;417626,7058;2691964,208;2832996,293;62128550,72;137517504,2;4834296,537;30751388,64;628970,5778;0;8043193,164;20715327,98;693242615,5;1014324630;451301918,7;219044909;154443964,1;126848112,3;82327820,01;224075781,8;59077622,46;240184397,6;99546706,3;110324927,1;249634813;46880457,66;6573225,744;22440858,76;20351279,63;71640048,31;748455,5733;15997593,99;0;504448265,6;3216708,972;306198342,2;314391618,6;242654665,5;211151387,3;60405929,88;70973936,87;84569390,09;112819469,7;149980125,4;19861755,36;17555706,13;139483951,4;57685276,02;11655248,3;59702141,35;85205509,71;15209259,65;23880513,15;67502227,12;18619760,49;1085064,813;16310620,73;254664687,8;359369750,2;115020885;227748271,1;31382034,78;81937923,54;182529346,8;191462600,3;262731470,3;262429736,6;185829586;32862441,7;22674217,35;138433534;72766246,24;111741729,7;11269256,7;7343845,345;5212954,883;16450783,11;168257725,3;201734015,9;20816594,61;206543003,9;239617100,5;111884321,4;132934177,1;138354910,6;67327961,64;157022028,6;105463245,6;60166454,11;18444427,33;64982993,57;0;55833809,36;2671512,971;2243042,371;2202537,876;52403872,34;1356232,894;55118255,56;41088480,74;25765691,31;47019901,3;30365025,21;8440331,791;2314286,345;6497901,064;3355061,378
Pc_Q_haplo_3_05.D;1278566199;38877843,42;5344828,423;2400728,375;7884516,479;11738034,06;14425529,04;4521311,092;46949076,55;30519715,22;4507158,695;77654490,98;3911981,721;1374888,661;356712519,9;140034241;310189382,4;391974058,1;213055551,2;102539135,3;157441869,8;262010661,7;1512794481;7103283,483;67204058,64;12643084,88;2327567,594;89932733,1;299697141;1857322140;5937753416;1598350657;175513318,8;173552133,3;0;5893286,87;200642058,6;222441130,8;54977978,35;353912081;1012775083;621946723,3;194686732,6;65952523,94;325351057;109702856,8;311836746,4;13853579,54;73489870,28;25490226,63;342705519,1;15436864,76;689346159,8;273394935,9;303918059,1;48833535,57;197553640,8;112304002;69873957,56;13334244,06;42913802,01;66310852,02;314307617,3;236982809,7;189564777,8;165124561,7;488569325,9;113077084;126725000,7;490780356,5;121554644,1;122254722,2;134100111,2;114612520;90850445,16;388195730,9;94736563,41;175991872,7;13173325,62;68115337,03;131507532,1;133046644,6;211371558;484767691,7;54179244,48;150483967,9;115287282,2;231830124,4;140640496,9;212997727,7;34363226,84;115909519,5;126220111,4;142644195,9;97490064,7;525268361,9;6341148,602;170512016,3;107853878,6;141253800,7;97504672,26;20557919,42;87955713,2;142965005,2;88179432,86;219177326;160782548,6;189269479,6;90179889,86;366181987,6;36552366,99;8257985,964;29162600,88;23154475,59;26742964,28;195953733,3;87918295,76;111602277,2;192281662,2;26928571,81;104664693,8;53108063,06;20841411,32;23098531,14
Pc_Q_haplo_46-47_02_R.D;1295638904;24724803,86;12976984,81;1974671,819;24221786,56;28059490,02;45524009,33;15635183,22;84081037,14;29261797,24;6726689,534;54826204,19;8454438,438;2117714,474;359829536,1;164877059,4;238145853,3;288521243,8;138180399;95912279,13;101340972,4;363708097,3;862103517,4;11248657,04;205794552;74370721,44;1473440,829;93342878,77;237401501,9;1200278583;3648054479;531368690,4;78448232,44;470031380,9;231670889;150286332,5;279747695,8;369005405;74263677,88;319652460,2;873987323,2;283777555,5;183133822,8;49919754,32;251016626;54101569,55;313033693,6;13034835,51;61865529,91;41238479,44;406475118,1;25222407,24;494350563,9;161918389,7;219911199,5;139055460;119971830,7;128499361,2;133892313,9;41098914,65;63549948,14;279844521,8;381890098,2;338859690,7;200413972,9;149960260,5;173747629,5;272680148,5;80124170,53;287990685;123190325,7;53638322,21;92258909,32;91710747,8;126020212,2;540801127,8;120631793,1;301698884,9;82310725,57;206674627,1;152110499,2;217260190;496592960,1;248669481,9;285629739;418020088,4;174102470,3;331840160,9;125151623,2;194299348,5;6855566,571;130499168;73550614,78;88975579,2;50472987,16;527525312,8;11572585,59;219934811,7;384129235,9;202955240;106303326,7;309460440,2;125949346,3;266670891,1;108377535,8;187269485,6;103888796;226986821;0;301410345;9479668,423;0;6245184,981;7445274,805;8628389,443;76965532,61;21360331,11;22728035,12;177322240,5;0;16313969,96;16407913,06;4647923,785;7390190,737
Pc_W_pleo_73_02.D;1203394216;6235042,907;13813449,32;7058472,768;5488081,51;8250435,591;384580,3763;4853290,835;9019994,127;987095,494;0;2001186,009;1259226,986;270114,2039;78400418,84;1106238,58;29236434,55;50076870,14;1055647,266;4992105,034;5654606,133;88200269,29;254617500,8;15542003,56;44989599,16;1914403,64;77098,5881;15350635,27;82610702,33;708315847,7;1160118092;605528526,4;226881172,5;227774236,6;162949469,5;99520736,25;285064651,6;66760209,48;40281621,93;149125458,6;208831660,7;341753552,2;63229924,93;3707902,483;49412090,32;54012738;107299942,8;2163737,393;17000156,21;0;520047346,7;0;311864568,2;328824258;291790462,6;235478463,3;76489681,24;76620905,37;121105684,3;83467802,97;240438544,5;33456216,11;46641888,91;181814684;72713890,66;13997965,5;86486153,41;120983981,2;25975719,56;39452818,17;85252749,84;21827615,32;2326543,369;20115117,02;267112020;440636689,6;125676099,4;307701354,7;51432330,05;122787745,5;180024005,9;161395148;321327363,9;283940188,6;210420247,5;30944394,01;21532147,06;132187474,5;73515753,74;136519796,5;11518010,71;796998,8569;7358554,781;20567805,13;125918020,7;215940844,5;17213392,82;176026327,8;266618164;138930440,6;130340996,2;62009280,89;58951980,4;148118724;89175182,36;59211995;17178187,17;84229648,21;0;61704337,17;1728770,975;1108723,342;2517027,348;13200578,03;3232257,829;54853935,26;19694874,11;13259071,72;48331783,98;11714852,22;4067568,129;2354833,812;5350273,565;2105119,285
Pc_Q_pleo_72_01.D;1221602941;1993320,213;14009032,54;5003075,405;1547328,5;728054,5172;3003579,32;6026339,461;48772792,62;13124464,42;4706459,248;28492199,78;6687869,373;1642458,482;279437350,7;60639706,94;187660065,4;264642519,6;35179871,66;70437259,93;64838025,92;266886805,2;724211243,3;15307881,26;201397759,8;54530829,62;1514021,187;0;192668369,4;1081424397;3133398968;380679054;80192618,69;147425783,5;119224578,8;185093459,3;463882125,2;308996063,4;196684825,1;374293717;887580721,3;366984432,1;187689771,2;52053708,91;205397143,3;0;343275714,9;31172040;91015162,48;20322799,39;418534109,6;7460853,42;1125104940;219266991,7;209891233,5;155862634,4;133735993,7;70083750,21;145744922,3;89860787,55;252704933;57124548,57;213582881,8;311072281,6;246750101,3;48984634,76;323865837,9;279009144,2;106395628,8;138923142,6;69837965,94;96588613,29;18616866,01;104753579;207964041,4;436293757,8;131973044,3;223368603,8;41598941,25;201502282;103722947,7;225236404,6;218539696,8;355943996,6;195852346,9;116056243,5;101303628,6;331272681,3;146283519;171734225;105248936,7;24961956,17;87140451,61;121134691,4;80578872,6;543217244,9;6335907,758;175110609;284576628,9;164652426,8;162492843,8;106181759,3;55740686,97;262041398,8;177866269,8;176285397,7;128777544,6;340557850,8;66471166,57;313864407,4;42031999,91;16699261,38;25612444,55;;22559358,37;117646236;37087796,88;50114740,55;162357316,9;44273861,53;27276637,14;28513284,02;27627712,63;24271852,97
Pc_W_haplo_46-47_05.D;1170142506;78371834,64;10607517,56;3814961,536;3798318,609;804824,4266;431069,7799;1485955,096;30827470,62;346177,9622;0;5314509,929;260619,671;101782,7653;165588543,3;5725330,633;15216782,2;29512086,58;2316870,133;6284923,729;1300210,578;142721352,2;139626747,5;3904729,031;14720724,09;874062,6346;194140,3246;2121691,509;62202570,15;740633342,6;595042068;411146044,5;164291100;37140784,73;11738982,27;210231322,7;65464793,49;18970223,06;240633378,7;60054289,86;37166090,52;130579045,6;18483957,22;2650922,196;8825228,31;9493195,737;29674398,98;0;3021679,078;0;432174744,4;0;113395346,9;197044797,7;163984959,2;106395262,4;10955941,61;17933995,33;17227171,9;74490133,53;17231557,63;6307637,485;9452835,647;65650450,53;16928394,9;1247402,598;6971068,42;12013813,19;4878520,281;5043788,115;6820263,943;578802,6616;770622,9154;863357,9929;161079047,7;69814255,75;20375424,66;143766935,7;23804830,31;31225509,38;68008288,59;35678279,87;77120620,95;100774276,1;50435942,64;11012449,6;3186520,543;19427886,58;23220498,28;23605335,72;0;4980823,374;1724327,32;971811,8185;135112929,3;36489732,82;1950207,873;113462810,6;89217200,4;22244575,77;16619046,4;44955759,69;32215131,66;21891469,89;13460544,41;21636749,39;576920,2142;8585094,556;0;4617865,151;;0;;8326276,165;0;2895997,265;12818012,89;3782549,411;1102404,751;0;0;673646,0819;0;0
Pc_Q_pleo_72_05.D;1190908944;13738464,03;12343468,07;3211846,589;3196031,887;5833766,848;8604464,697;8419067,656;44468667,15;33458241,75;4893628,968;42234209,15;9145414,674;2716659,655;286306167,6;55610056,62;311553123,6;326096970,5;62570357,25;107241324;114858612,4;312919889,1;895541755,4;3546617,308;99609079,25;10789902,94;589714,9019;161069769;287801633,7;1361272718;4507761274;515742399,9;86052203,65;94178753,82;45594830,72;204053245,8;468399926,2;262561850,4;196959133,1;448442537,7;908824541,3;370064380,4;166010826;52703510,82;245119676,8;6600860,048;329415105,6;13206546,96;75908562,65;22426191,47;434764534,3;14598072,25;764449608,1;270623717,9;208113852,1;81109917,65;110566532,8;106337469,1;135040037;40411473,08;168506653,4;42562726,45;252932831;350765990,2;251558325,8;62948880,6;350899274,4;239733072,5;139665917,9;170431809,1;100187933,9;126302395,4;8968451,213;98715731,01;236301199,9;453919596,4;97436199,81;162451409,2;82782130,56;207314461,4;120884938,9;129140111,9;147679274,4;323740838,7;139449259,1;118672135,4;118881959,8;370402973,3;111799151,1;155085411;70887669,76;28046807,67;72122115,29;135203700,1;126377067,5;495403293,3;10624893,59;140076709,5;187326712,3;141591990,2;121517507,7;160082139,3;57482556,24;224747343,9;155893207,8;157524501;149670796,4;317676691,6;127318147,3;292780563,1;42552349,09;15403676,96;32843082,19;11336573,96;38937670,72;189444145,1;50326693,26;56394968,75;113390350,1;63483261,06;35902560,49;49123907,88;25626406,61;31443146,18
Pc_W_pleo_73_04.D;1109605538;32138906,24;12352893,57;6296303,269;8518522,335;1325633,608;7714445,961;19721241,15;11356070,19;219263,3086;0;245929,4204;5332288,545;622737,1563;32203748,37;428748,2286;10874562,85;15203318,41;912675,2803;1671494,056;2412603,153;42763207,2;78850861,07;5129287,919;15966135,84;366341,5149;0;4002478,04;18963986,23;552876259,6;746456123,4;380543737;132264145,8;109208106,8;75691355,97;49376374,36;181007337,8;36894625,7;163686351,3;76768835,41;112868265;207153892,5;28652483,44;1391465,923;22378739,89;1919993,606;39311539,85;0;9187379,811;0;411057616,8;;275474714,2;282531139,4;210238320,7;155922731,6;56034714,33;37908965,15;62476800,38;99307736,76;146169560,1;16987260,01;19688444,44;96439449,99;33361499,02;4871550,464;40151107,76;44794942,52;10562158,31;16764189,32;59615339,83;12964052,75;661832,3236;9207793,817;183794450,5;325464868,2;102990357,8;222882174,5;23449045,51;83890543,46;175527762,6;166487081,3;209662145,2;209980382,7;137689768,3;17112407,84;14246923,09;84859230,83;36901392,15;61796701,3;6423020,528;4875406,509;4409627,358;7419567,692;100240843,1;175339522,1;10586348,95;122997052,5;173601999,2;109853850;82784932,08;88628347,44;43331087,92;102339794;79218276,61;29137047,7;10176562,11;52771734,02;0;35775182,37;;1320429,345;1715439,704;15338477,43;1458535,834;43829919,4;11708591;8078648,921;26760726,2;14529143,52;2455592,134;3056483,034;3466666,861;2303424,014
Pc_W_pleo_72_03.D;1203835518;9634620,013;13031274,58;2049440,619;20600894,32;40752285,22;37754548,84;3655924,604;6350630,454;115247,6886;0;166570,3449;3379066,565;281975,3108;44580339,75;425928,3041;7938242,732;31886593,73;1416229,653;4336745,587;4135996,027;89805291,64;154005170,5;9914561,926;47447048,04;637824,9325;70100,89625;15215839,28;31809436,85;811792936,4;1122706592;435024097,5;216612695;249943519,4;186082318,7;68402389,76;262449662,1;113763767,5;353289832,3;104898647,6;205970468,1;356680558,4;152344155,6;14338004,82;70284557,08;98972302,41;150587367,3;14754733,18;25772433,28;0;577871161,4;0;369108546,6;244347562,8;328770377,8;240453711,3;65059868,78;88672988,89;97804450,72;109399783,1;280960837,3;57166474,96;83842701,29;263480582,2;110498418,6;24714418,5;91782634,89;240663552,9;73414880,53;52946090,76;65084611,12;46993550,6;2686928,263;38410018,79;315039004,5;406344658,4;160559307,5;321411855,1;58992806,33;241664676,4;182136049,3;193640707,8;238732116,1;352274227,9;189902013,5;82495475,49;51641342,75;191158806,3;97888956,9;132616745,6;52126275,38;20796281,37;20796281,37;52291125,13;137160376,3;294948245,4;18244222,3;192446881,2;266810881;201386609,7;130301842,9;137154555;69781634,06;191668557,8;142802390,7;102056048,3;49267647,06;201506636,5;0;132816817,8;15600851,48;6132370,561;5930782,688;9274831,544;6418134,933;72269498,37;27904261,55;17840394,83;99851455,81;27089595,06;3902646,588;3825656,894;7289282,411;7893246,022
Pc_Q_pleo_24_05.D;1379950768;6388079,329;14542296,43;6089502,819;11380345,09;619991,7845;1657243,394;13630554,32;190618623,4;21888385,18;6574166,34;22947990,81;30904194,06;7698132,243;314262424,6;108590036,8;114711329,5;185281770,6;32484691;121796254,7;48551662,88;156690578,1;588218762,9;43101052,79;128542639,1;6713461,551;615792,0237;43330166,33;162998112,3;660636242,8;1920925968;329105902,2;142577095,4;519630727;285209602,2;316264437,4;393021013,1;224198720,8;139422194;344652042,2;550224825,8;345143320,9;152020335,4;21030161,61;139110730,5;3735434,306;254236329,3;8962095,933;36121503,88;22465367,09;345779783,9;4628970,308;520236922,5;246374829,5;273928178,5;167870574,9;120211317,4;110872994,4;156381686,9;115885659,8;165180620,2;92236497,14;182172258,7;207821955,7;167047962,6;27047037,1;213295278,2;222262657,1;39856267,43;146663523,4;78432253,68;53876305,85;14612033,73;81505701,66;129457598,1;410756440,1;151233383,8;285497674,3;93429470,51;206708462,5;149395223,8;234898673,1;252979905,4;391774561;354487131,5;128657331,8;68145791,78;237663187,9;107499091,9;231922857,3;65792849,22;31861766,46;51000367,55;96018242,95;44094873,71;581795399,8;6966093,756;169550451,6;378511113,2;206321332,7;151281495,3;115458605,9;93140896,28;253320952,6;255747874,1;108350387,4;100287041,7;251248926,9;58663248,17;295482040,7;7059106,901;9667650,697;14170022,15;7262386,211;15271018,16;142319752,3;23975659,95;41259017,32;145167075,2;25730200,78;26306452,44;16760440,31;14602334,09;15797156,97
Pc_W_pleo_73_03.D;1074009423;38310856,18;11442725,74;1445203,308;17110269,56;1676548,929;5540831,202;3222114,38;7837156,228;143146,1281;0;593388,5585;669387,4762;114044,7276;73916218,35;172880,2531;8803612,2;30070947,15;135545,353;2180967,484;2798972,216;83161558,96;92668148,82;3354651,42;19078057,75;372480,0711;0;4993269,525;34067456,45;583932933;760707156,3;327203740,1;198415969;115651801,3;76768974,68;124021783,5;194581300,2;41278125,08;73722535,83;85550939,38;133607283,3;209544377,5;33205815,52;6156520,884;15897508,88;24233793,12;69130723,83;204572,458;11229838,99;0;410245757,2;0;260487462,7;254793654,5;259710042,5;181209878,6;46135835,92;40360921,23;66489171,55;144651672,6;105767572,5;20803628,31;22685466,53;98565710,96;40113978,37;4536506,359;38740854,07;45368821,24;10497056,21;19032251,4;50972012,59;8872522,851;614591,3059;8611837,523;165206818,2;231092471,9;71804915,01;241489574,7;16827946,84;84875478,94;87499319,73;142618136,4;135712837,5;211540611,3;134570206;31946068,45;12790138,32;89593969,32;39798972,69;57040632,66;5891934,193;6952886,527;3597651,895;9855974,63;51119731,18;150752702,8;14643477,04;93015314,07;161950384,7;96143743,86;80434925,2;77880127,76;40041723,1;83613200,66;53536725,99;30927107,64;8117317,191;48812197,21;0;32665240,95;0;0;809606,9034;3325405,84;1422025,032;23485637,84;5991730,452;4650763,199;17765936,06;2135015,477;0;899272,1444;1728738,383;1413544,169
Pc_W_pleo_72_01.D;1182062115;3158558,636;12789742,84;8706086,98;29168398,1;475227,4665;458150,6196;1680704,673;5530331,548;465866,3294;0;151195,2267;909614,8059;80408,79412;101021093,1;103470,8081;6622845,115;4495253,875;46999,03309;611825,6672;431245,1441;111635914,5;45754358,89;2236549,166;3021830,336;433762,9577;17940,59084;2949445,839;3739650,826;905707698,2;506462671,9;284302949,5;98137774,9;12842763,36;10218733,53;42181361,57;58981207,31;1796654,823;309206036,5;14138289,68;33786388,19;93192151,55;2424325,657;1750945,674;2520010,618;14978146,96;7210826,367;739796,1468;747659,8724;0;613429200,3;;108652335;262789797,5;150746686,1;141599848,9;9683363,23;13356299,13;12426009,21;73588550,7;43211962,34;1651516,729;1218301,988;133195242,2;9022576,832;0;6867814,342;21122786,25;6666777,722;3316010,857;4858634,66;1850877,797;0;0;412099554,5;113387753,5;70484241,06;236020375,1;53441481,86;23792317,15;53926069,16;41395893,35;99895244,2;54932450,93;104281326,4;5581069,708;0;20643168,03;35531662,1;9181834,151;810661,4307;932289,9508;878664,6983;624863,907;345640899,9;68949219,92;19210085,89;152815677,5;94420063,74;23685391,56;32777580,59;64370910,01;39900417,35;15162323,4;44489050,32;27026001,11;933289,6411;10694894,35;0;8704493,9;0;;;115507688,8;0;6994780,745;53443230,5;8887826,529;0;10054609,93;4847484,269;622541,961;1287871,667;0
Pc_Q_pleo_24_04.D;1263582171;7983481,272;12551478,04;2352314,188;14567957,71;41275304,12;49679993,46;6853768,352;473223383,1;95800402,29;16255583,83;94806094;48031077,86;29931015,98;672857421,1;181025158,9;414860989,1;347290694;44104452,6;233042083,1;108914554,7;236343098,7;984050746,7;4759688,921;43820369,51;14174845;275779,7717;119512048,6;188932311,7;1581583082;5490651641;701966534,5;82854500,61;66628483,08;23787172,63;82854500,61;293856986,3;204436915,4;86602589,79;381805880,7;662769914,3;522224221,8;166566561,5;69979605,98;281000535,9;3899255,974;271424393,5;26741997,13;70217921,99;35220717,44;421939208,5;12212058,7;687539670,1;403159729,6;241076683,5;37205123,84;72778905,61;89314472,5;88208609,2;15528985,46;97781698,2;44395116,62;251474581,7;276275760,7;245972904,1;63028300,52;505136102,1;248036588;137291271,7;206117334,3;119004837,2;110940322,3;26100142,31;105625497,1;107850058,4;337296975,8;51707425,79;266224111,9;28925297,71;87306090;149749544,8;211459989,3;71366888,85;325352236,7;195244994,8;127259835,4;128167050,5;313487315,5;83491460,5;272269419,4;72618087,78;39580024,63;70067796,51;136622747;61414582,93;464544376,4;5366437,962;117211972,1;112441468;230716194,6;137703975,9;147970900,8;26026679,12;83430572,78;124837419;135481323;178910641,3;330701161;222082510,2;339826047,2;39372732,51;14889392,86;51043690,95;2236006,387;63633453,99;363493438;68404193,82;88848089,81;283797579,1;94601470,2;70459026,11;55216715,42;47157009,79;56621610,67
Pc_W_haplo_46-47_03.D;1485703486;52923363,17;15756224,42;16167370,91;14678573,5;7554682,834;18467054,51;20008362,53;47730722,37;801664,6328;239249,7322;4910038,652;2048823,216;1212615,501;204069783;5605891,882;15037595,23;35055896,6;4814745,841;10630256,97;3680675,264;193263028,1;174880277,9;6836361,709;22478947,41;5690407,838;90680,235;3984161,721;62807032,49;1042775787;647426103,5;450670038;196844336,1;54587532,85;15247546,34;244216522,4;88344534,46;41688247,46;433170764,6;74852427,38;108623268,1;229955781,3;54507662,49;10092068,41;21069151,52;18347719,13;48056759,96;0;4097714,141;0;619301827,4;;178960671,9;286381010,5;271444623,5;196012370,8;23961358,27;23896559,19;49632394,16;152667431,4;69243403,23;28238974,51;36274008,2;121562989,6;46824284,57;2785699,153;23320003,12;44728185,3;16976799,17;10669740,94;25386966,44;2334554,914;758949,6847;1851535,618;296450341,5;156058867,9;127734967,7;286870262,3;84103919,82;46007890,63;103339318,3;58023137,29;120950184,6;164777350;113234655,7;31813618,72;7846263,968;49081434,09;68542466,85;40168316,92;929164,654;6193381,511;3628954,304;1819591,626;273672658,9;88099086,59;11574503,81;269622243,9;163901514,3;48053382,79;31318743,83;125683148,1;84912694,22;69024227,62;53543062,98;75060817,86;2677044,189;20277124,98;0;10630303,91;0;0;;72007180,42;0;15037852,69;95607644,49;14006913,26;2677959,588;9412058,158;11126794,83;1121833,324;1772335,699;0
Pc_W_haplo_1_02.D;1154099548;41986118,18;11393845,88;4829475,729;5966702,711;3922789,553;4876611,987;16841757,45;3349773,704;445773,3708;0;110769,6174;2196648,002;513502,78;32362728,69;104654,9919;1515716,537;4269166,604;86679,32571;298351,0657;345734,1516;67726606,86;34741829,52;4662450,467;3621889,587;694806,9184;0;287839,6717;3535513,626;705177463,6;475308003,6;337248920,4;106409249,3;16557228,92;6201436,826;26427628,31;32108602,33;6403641,41;227374247,2;12211708,95;41213526,79;136167078,7;11926344,92;2966123,327;4040216,195;4158685,474;13407745,64;281525,931;0;0;485460765,4;;112518077,8;247350359,5;176463216,9;135200245,1;18547796,21;22628577,46;21818845,08;47337344,88;25514609,58;3037834,465;5741787,856;75764189,16;8713640,061;190925,8394;8635806,44;28824626,66;5687415,456;5030263,569;8191477,379;828252,3672;1199724,843;0;347095215,3;103477414,1;62149223,15;226862001,2;52120143,64;57889933,57;66397274,47;54097666,29;119480560,8;111095825,5;96690667,82;10854060,21;3395607,135;16553801,03;49593247;22084620,67;0;0;0;;380761907,3;86362879,11;18918932,5;222761716,5;135042637,9;24030149,36;35987417,91;61397817,37;50533523,88;38192559,03;44312386,16;37238449,26;1152989,851;14008638,24;0;4628061,151;0;0;;100279971,2;0;4159516,993;83138440,47;0;0;3728575,73;5776800,173;0;0;0
